track_name,artist
Diet Pepsi,Addison Rae
So Sick Of Dreaming,Maggie Rogers
"Girl, so confusing featuring lorde",Charli xcx
What Was That,Lorde
party 4 u,Charli xcx
Nite Mode,CHYL
Super Shy,NewJeans
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla
Alter Ego (with JT),Doechii
Mesmerizing Waves,Yu-Peng Chen
As the Feather Falls,HOYO-MiX
Hymn of the Pearl,Yu-Peng Chen
Brocade Dreams,HOYO-MiX
Suffering of Parting,HOYO-MiX
Chattering Snowflakes,Yu-Peng Chen
Until the Morning After,HOYO-MiX
Adeptus' Solace,Yu-Peng Chen
Coral Coronation,HOYO-MiX
Stories Untold,HOYO-MiX
"With the Wind, Flowing Epoch",HOYO-MiX
Unfinished Ideal,HOYO-MiX
Dream of Scattered Petals,Yu-Peng Chen
Mamushi (feat. Yuki Chiba),Megan Thee Stallion
LET HER COOK,GloRilla
Tangerine Rays (feat. Bea Miller),Zedd
64 Impala,Henry Fong
feel U luv Me,Knock2
アイドル,YOASOBI
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator"
dance or dead,Knock2
小苹果,筷子兄弟
朋友,Wakin Chau
Everywhere,Fleetwood Mac
Secrets from a Girl (Who's Seen it All),Lorde
B2b,Charli xcx
Touching Yourself,The Japanese House
The Kill,Maggie Rogers
Headphones On,Addison Rae
undressed,sombr
Balloon (feat. Doechii),"Tyler, The Creator"
"Henry, come on",Lana Del Rey
From,Bon Iver
Boom Clap,Charli xcx
Sad Songs (with Said The Sky & Annika Wells),ILLENIUM
War Isn't Murder,Jesse Welles
My Love Mine All Mine,Mitski
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift
Say Yes To Heaven,Lana Del Rey
Oceanic Feeling,Lorde
Oceans & Engines,NIKI
You’re Losing Me (From The Vault),Taylor Swift
I Don't Like My Mind,Mitski
evermore (feat. Bon Iver),Taylor Swift
luther (with sza),Kendrick Lamar
love.,wave to earth
She Used to Be Mine,Jessie Mueller
Tomorrow Is a Long Time - Witmark Demo - 1962,Bob Dylan
Don't Forget Me,Maggie Rogers
Soft Spot,keshi
Mr. Loverman,Ricky Montgomery
Pennsylvania Queen,Joy Again
Die With A Smile,Lady Gaga
I'm Here,Cynthia Erivo
"I Love You, I'm Sorry",Gracie Abrams
Golden Slumbers - Remastered 2009,The Beatles
Picture You,Chappell Roan
Hallway Weather,NIKI
ARE WE STILL FRIENDS?,"Tyler, The Creator"
amayo no seppun,ATARASHII GAKKO!
Dear John (Taylor's Version),Taylor Swift
Sparks Fly (Taylor’s Version),Taylor Swift
Clean (Taylor's Version),Taylor Swift
tolerate it,Taylor Swift
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift
The Story Of Us (Taylor's Version),Taylor Swift
Blank Space (Taylor's Version),Taylor Swift
Sexy to Someone,Clairo
paper thin,Nemahsis
From The Start,Laufey
CHIHIRO,Billie Eilish
Spring Into Summer,Lizzy McAlpine
SHOOTING STAR,XG
Haunted (Taylor's Version),Taylor Swift
Scorsese Baby Daddy,SZA
Big Yellow Taxi,Joni Mitchell
No Blueberries,DPR IAN
Get Up,NewJeans
Never Be Yours,Kali Uchis
